n,d,nsol,npos
3,5,4,0
3,5,14,2
3,5,8,1
3,5,10,2
3,5,6,0
3,5,10,2
3,5,6,0
3,5,10,1
3,5,10,2
3,5,8,0
3,5,12,0
3,5,10,0
3,5,6,1
3,5,6,1
3,5,12,1
3,5,12,0
3,5,8,1
3,5,8,0
3,5,8,1
3,5,8,1
3,5,8,1
3,5,6,1
3,5,4,0
3,5,6,1
3,5,6,1
3,5,4,1
3,5,10,0
3,5,4,1
3,5,10,1
3,5,6,2
3,5,6,0
3,5,4,0
3,5,6,0
3,5,10,0
3,5,6,1
3,5,6,0
3,5,8,0
3,5,10,3
3,5,10,4
3,5,12,0
3,5,4,0
3,5,8,0
3,5,10,4
3,5,4,1
3,5,6,1
3,5,10,0
3,5,6,0
3,5,8,1
3,5,4,1
3,5,8,1
3,5,4,0
3,5,10,0
3,5,8,2
3,5,8,0
3,5,10,1
3,5,6,0
3,5,6,3
3,5,8,2
3,5,8,0
3,5,8,1
3,5,2,0
3,5,10,4
3,5,8,0
3,5,2,0
3,5,12,1
3,5,8,2
3,5,6,0
3,5,2,1
3,5,6,2
3,5,8,2
3,5,12,2
3,5,8,2
3,5,6,0
3,5,4,0
3,5,8,1
3,5,12,4
3,5,10,1
3,5,8,1
3,5,10,0
3,5,2,0
3,5,10,2
3,5,8,1
3,5,8,0
3,5,8,0
3,5,8,2
3,5,6,0
3,5,6,0
3,5,14,3
3,5,10,1
3,5,10,0
3,5,4,1
3,5,10,0
3,5,10,0
3,5,12,2
3,5,6,2
3,5,6,0
3,5,10,0
3,5,12,3
3,5,10,0
3,5,10,1
3,5,6,1
3,5,8,1
3,5,8,1
3,5,8,2
3,5,10,1
3,5,6,2
3,5,8,1
3,5,2,1
3,5,6,0
3,5,8,3
3,5,10,1
3,5,12,5
3,5,8,4
3,5,8,2
3,5,8,1
3,5,8,1
3,5,2,0
3,5,12,1
3,5,6,0
3,5,8,0
3,5,8,0
3,5,2,0
3,5,8,0
3,5,6,0
3,5,8,1
3,5,8,4
3,5,8,0
3,5,6,1
3,5,10,1
3,5,14,2
3,5,12,2
3,5,8,0
3,5,2,0
3,5,10,2
3,5,10,1
3,5,12,1
3,5,8,2
3,5,8,1
3,5,8,1
3,5,10,2
3,5,8,0
3,5,8,3
3,5,6,0
3,5,2,0
3,5,4,1
3,5,10,0
3,5,8,0
3,5,10,0
3,5,4,0
3,5,8,1
3,5,10,0
3,5,6,0
3,5,12,3
3,5,10,0
3,5,4,0
3,5,12,3
3,5,8,1
3,5,14,2
3,5,12,3
3,5,10,1
3,5,4,0
3,5,12,2
3,5,8,2
3,5,12,1
3,5,10,3
3,5,6,0
3,5,4,0
3,5,4,0
3,5,10,3
3,5,4,0
3,5,10,0
3,5,12,1
3,5,6,1
3,5,6,1
3,5,10,1
3,5,6,0
3,5,6,1
3,5,14,1
3,5,6,0
3,5,6,1
3,5,10,2
3,5,12,2
3,5,6,1
3,5,8,1
3,5,10,4
3,5,8,2
3,5,8,1
3,5,8,3
3,5,4,0
3,5,8,2
3,5,2,2
3,5,14,3
3,5,4,0
3,5,10,1
3,5,10,0
3,5,10,1
3,5,6,0
3,5,6,1
3,5,6,1
3,5,8,2
3,5,4,1
3,5,8,0
3,5,8,2
3,5,10,0
3,5,8,1
3,5,12,1
3,5,8,0
3,5,10,1
3,5,8,1
3,5,10,2
3,5,6,0
3,5,4,1
3,5,8,0
3,5,8,2
3,5,12,1
3,5,14,2
3,5,8,3
3,5,8,0
3,5,12,3
3,5,8,1
3,5,10,0
3,5,12,3
3,5,12,2
3,5,8,0
3,5,8,0
3,5,10,2
3,5,12,2
3,5,4,1
3,5,14,1
3,5,10,3
3,5,8,2
3,5,12,2
3,5,6,0
3,5,10,0
3,5,6,0
3,5,12,1
3,5,8,3
3,5,6,2
3,5,8,2
3,5,12,2
3,5,4,0
3,5,12,1
3,5,8,1
3,5,6,2
3,5,8,0
3,5,12,1
3,5,8,2
3,5,8,1
3,5,6,1
3,5,6,1
3,5,12,0
3,5,8,3
3,5,10,0
3,5,8,1
3,5,14,2
3,5,8,2
3,5,8,2
3,5,14,2
3,5,10,2
3,5,12,2
3,5,4,1
3,5,4,0
3,5,8,1
3,5,16,0
3,5,12,0
3,5,8,1
3,5,10,0
3,5,6,2
3,5,14,2
3,5,4,0
3,5,8,0
3,5,14,2
3,5,12,3
3,5,6,0
3,5,8,0
3,5,6,1
3,5,6,0
3,5,4,0
3,5,10,2
3,5,8,1
3,5,4,0
3,5,12,0
3,5,6,1
3,5,4,1
3,5,12,1
3,5,6,0
3,5,4,3
3,5,10,0
3,5,8,3
3,5,10,0
3,5,4,1
3,5,8,2
3,5,4,1
3,5,6,2
3,5,0,0
3,5,8,0
3,5,6,1
3,5,2,0
3,5,14,0
3,5,8,1
3,5,4,1
3,5,6,0
3,5,10,4
3,5,6,1
3,5,6,0
3,5,10,4
3,5,4,0
3,5,6,0
3,5,6,1
3,5,10,1
3,5,4,0
3,5,6,0
3,5,8,3
3,5,8,1
3,5,6,1
3,5,8,0
3,5,6,0
3,5,10,1
3,5,12,2
3,5,6,1
3,5,6,1
3,5,10,2
3,5,12,0
3,5,4,0
3,5,6,2
3,5,10,0
3,5,12,2
3,5,12,4
3,5,10,1
3,5,12,1
3,5,12,0
3,5,10,2
3,5,14,1
3,5,8,0
3,5,8,1
3,5,8,0
3,5,4,0
3,5,12,2
3,5,10,3
3,5,8,2
3,5,8,0
3,5,8,1
3,5,4,1
3,5,6,2
3,5,12,3
3,5,8,1
3,5,6,0
3,5,14,1
3,5,6,1
3,5,6,0
3,5,8,0
3,5,6,0
3,5,10,1
3,5,12,1
3,5,4,1
3,5,12,1
3,5,4,0
3,5,8,1
3,5,12,3
3,5,8,2
3,5,6,1
3,5,8,0
3,5,8,1
3,5,6,1
3,5,6,0
3,5,6,0
3,5,2,1
3,5,10,2
3,5,8,1
3,5,4,1
3,5,8,2
3,5,6,1
3,5,6,1
3,5,4,2
3,5,8,0
3,5,10,1
3,5,8,2
3,5,4,1
3,5,8,0
3,5,6,1
3,5,8,0
3,5,8,0
3,5,8,1
3,5,8,2
3,5,14,1
3,5,12,0
3,5,12,2
3,5,8,0
3,5,6,2
3,5,6,1
3,5,12,2
3,5,8,1
3,5,6,1
3,5,8,3
3,5,4,0
3,5,6,0
3,5,10,1
3,5,12,1
3,5,12,0
3,5,6,0
3,5,4,0
3,5,6,1
3,5,6,2
3,5,2,0
3,5,6,0
3,5,8,1
3,5,6,0
3,5,8,2
3,5,4,0
3,5,12,3
3,5,2,0
3,5,4,2
3,5,10,1
3,5,12,0
3,5,10,2
3,5,4,0
3,5,6,1
3,5,8,3
3,5,6,1
3,5,10,2
3,5,8,2
3,5,14,0
3,5,10,1
3,5,8,0
3,5,8,2
3,5,8,0
3,5,4,1
3,5,8,0
3,5,4,0
3,5,6,0
3,5,6,0
3,5,8,0
3,5,10,2
3,5,8,1
3,5,8,1
3,5,8,1
3,5,8,0
3,5,8,1
3,5,4,0
3,5,6,1
3,5,8,0
3,5,2,0
3,5,8,3
3,5,6,1
3,5,8,3
3,5,14,0
3,5,8,0
3,5,10,1
3,5,8,1
3,5,8,0
3,5,6,1
3,5,8,2
3,5,8,1
3,5,12,0
3,5,6,1
3,5,16,3
3,5,6,2
3,5,12,0
3,5,10,1
3,5,14,1
3,5,14,2
3,5,8,0
3,5,12,1
3,5,8,1
3,5,14,3
3,5,12,2
3,5,10,2
3,5,4,1
3,5,10,0
3,5,2,0
3,5,6,0
3,5,8,2
3,5,12,0
3,5,4,0
3,5,6,1
3,5,10,2
3,5,10,0
3,5,10,2
3,5,10,2
3,5,4,0
3,5,14,2
3,5,6,0
3,5,8,3
3,5,8,1
3,5,4,0
3,5,12,3
3,5,6,1
3,5,4,1
3,5,10,2
3,5,6,1
3,5,8,1
3,5,6,0
3,5,6,0
3,5,10,1
3,5,12,1
3,5,4,1
3,5,12,3
3,5,10,1
3,5,6,1
3,5,2,0
3,5,4,0
3,5,10,0
3,5,12,2
3,5,6,1
3,5,4,1
3,5,2,0
3,5,8,0
3,5,10,1
3,5,10,0
3,5,8,0
3,5,8,1
3,5,8,1
3,5,10,1
3,5,10,2
3,5,12,0
3,5,8,1
3,5,10,2
3,5,10,1
3,5,8,2
3,5,8,1
3,5,10,0
3,5,8,0
3,5,12,2
3,5,4,1
3,5,12,0
3,5,8,0
3,5,10,2
3,5,6,1
3,5,10,1
3,5,8,1
3,5,8,0
3,5,8,0
3,5,4,0
3,5,10,1
3,5,2,0
3,5,4,2
3,5,8,0
3,5,6,0
3,5,6,3
3,5,8,0
3,5,6,0
3,5,6,0
3,5,10,1
3,5,2,1
3,5,14,0
3,5,10,2
3,5,8,0
3,5,10,0
3,5,10,0
3,5,14,1
3,5,4,1
3,5,12,0
3,5,10,2
3,5,14,1
3,5,6,1
3,5,12,2
3,5,4,0
3,5,12,1
3,5,6,0
3,5,6,2
3,5,6,1
3,5,16,2
3,5,8,2
3,5,4,3
3,5,8,2
3,5,6,1
3,5,8,0
3,5,12,2
3,5,6,1
3,5,4,1
3,5,4,1
3,5,8,0
3,5,4,0
3,5,8,0
3,5,12,2
3,5,10,3
3,5,10,2
3,5,10,4
3,5,10,2
3,5,4,0
3,5,8,1
3,5,10,0
3,5,6,2
3,5,8,0
3,5,10,1
3,5,8,1
3,5,4,0
3,5,8,3
3,5,4,1
3,5,8,0
3,5,4,0
3,5,4,0
3,5,8,1
3,5,8,3
3,5,6,0
3,5,4,1
3,5,12,2
3,5,6,1
3,5,6,0
3,5,6,1
3,5,10,2
3,5,10,1
3,5,6,0
3,5,6,1
3,5,8,1
3,5,6,0
3,5,10,2
3,5,10,1
3,5,6,1
3,5,8,1
3,5,14,2
3,5,6,1
3,5,12,3
3,5,6,0
3,5,8,0
3,5,2,0
3,5,8,1
3,5,8,0
3,5,6,0
3,5,6,1
3,5,8,3
3,5,8,0
3,5,8,1
3,5,8,2
3,5,16,2
3,5,6,1
3,5,6,0
3,5,6,1
3,5,2,1
3,5,12,1
3,5,2,1
3,5,6,0
3,5,14,2
3,5,12,1
3,5,6,1
3,5,12,1
3,5,18,1
3,5,6,2
3,5,6,0
3,5,14,2
3,5,12,4
3,5,2,0
3,5,12,0
3,5,0,0
3,5,8,2
3,5,6,1
3,5,6,1
3,5,16,1
3,5,8,6
3,5,10,1
3,5,10,2
3,5,10,0
3,5,10,2
3,5,8,1
3,5,4,0
3,5,6,0
3,5,4,1
3,5,8,0
3,5,6,0
3,5,4,2
3,5,8,1
3,5,10,0
3,5,6,1
3,5,12,2
3,5,10,0
3,5,16,2
3,5,6,0
3,5,10,1
3,5,10,0
3,5,6,1
3,5,6,0
3,5,14,1
3,5,12,2
3,5,10,3
3,5,8,1
3,5,10,1
3,5,6,2
3,5,8,3
3,5,6,1
3,5,10,1
3,5,8,1
3,5,8,0
3,5,10,1
3,5,8,0
3,5,12,0
3,5,4,0
3,5,10,1
3,5,10,1
3,5,10,0
3,5,12,3
3,5,6,2
3,5,8,0
3,5,6,1
3,5,8,1
3,5,8,2
3,5,14,2
3,5,12,2
3,5,4,0
3,5,4,0
3,5,8,0
3,5,4,0
3,5,12,0
3,5,6,1
3,5,12,0
3,5,10,0
3,5,10,0
3,5,4,0
3,5,2,0
3,5,6,0
3,5,8,2
3,5,8,1
3,5,4,1
3,5,4,0
3,5,6,0
3,5,6,0
3,5,6,1
3,5,8,1
3,5,6,0
3,5,8,0
3,5,6,1
3,5,8,3
3,5,4,0
3,5,6,0
3,5,4,1
3,5,6,2
3,5,8,0
3,5,2,0
3,5,6,0
3,5,4,0
3,5,8,1
3,5,6,0
3,5,4,1
3,5,10,0
3,5,8,1
3,5,6,2
3,5,10,1
3,5,12,2
3,5,6,0
3,5,8,2
3,5,8,3
3,5,10,2
3,5,4,1
3,5,12,1
3,5,8,1
3,5,10,0
3,5,6,2
3,5,2,0
3,5,8,2
3,5,6,1
3,5,6,3
3,5,10,2
3,5,4,0
3,5,10,2
3,5,6,0
3,5,8,2
3,5,10,2
3,5,6,0
3,5,8,0
3,5,10,1
3,5,8,1
3,5,6,2
3,5,8,1
3,5,8,0
3,5,6,0
3,5,6,0
3,5,10,1
3,5,8,1
3,5,6,0
3,5,10,1
3,5,10,0
3,5,6,1
3,5,10,0
3,5,8,1
3,5,10,0
3,5,4,0
3,5,8,0
3,5,8,4
3,5,6,0
3,5,6,2
3,5,8,2
3,5,8,1
3,5,8,1
3,5,4,0
3,5,6,0
3,5,14,1
3,5,10,1
3,5,4,0
3,5,10,1
3,5,6,1
3,5,6,2
3,5,10,4
3,5,10,1
3,5,6,0
3,5,8,2
3,5,8,0
3,5,8,2
3,5,8,1
3,5,6,1
3,5,8,1
3,5,16,1
3,5,6,2
3,5,6,0
3,5,2,0
3,5,12,1
3,5,6,1
3,5,6,1
3,5,8,2
3,5,8,3
3,5,8,0
3,5,6,2
3,5,4,0
3,5,10,1
3,5,4,0
3,5,8,0
3,5,10,1
3,5,2,0
3,5,8,0
3,5,4,0
3,5,4,1
3,5,4,0
3,5,10,2
3,5,6,1
3,5,10,4
3,5,8,1
3,5,8,1
3,5,4,2
3,5,6,0
3,5,12,0
3,5,2,0
3,5,6,0
3,5,4,0
3,5,12,3
3,5,8,1
3,5,12,1
3,5,8,0
3,5,12,2
3,5,0,0
3,5,8,0
3,5,6,0
3,5,8,3
3,5,12,1
3,5,6,1
3,5,10,0
3,5,10,0
3,5,10,0
3,5,12,3
3,5,4,1
3,5,8,1
3,5,0,0
3,5,8,1
3,5,10,1
3,5,12,2
3,5,10,0
3,5,4,0
3,5,10,1
3,5,12,0
3,5,18,3
3,5,10,1
3,5,8,1
3,5,12,2
3,5,10,0
3,5,8,0
3,5,6,1
3,5,4,0
3,5,2,0
3,5,8,0
3,5,2,0
3,5,8,0
3,5,12,4
3,5,8,1
3,5,8,0
3,5,6,1
3,5,8,1
3,5,8,3
3,5,8,0
3,5,4,1
3,5,8,1
3,5,12,2
3,5,8,1
3,5,6,1
3,5,10,1
3,5,4,0
3,5,6,0
3,5,10,3
3,5,2,0
3,5,2,0
3,5,6,0
3,5,6,1
3,5,4,2
3,5,10,3
3,5,10,2
3,5,10,1
3,5,8,0
3,5,4,0
3,5,14,1
3,5,12,2
3,5,8,1
3,5,14,1
3,5,6,0
3,5,6,3
3,5,8,3
3,5,8,2
3,5,10,3
3,5,8,1
3,5,10,1
3,5,6,0
3,5,12,3
3,5,6,0
3,5,8,3
3,5,4,0
3,5,10,0
3,5,6,0
3,5,10,1
3,5,10,0
3,5,6,2
3,5,4,1
3,5,8,1
3,5,10,3
3,5,4,0
3,5,10,3
3,5,6,1
3,5,6,1
3,5,8,1
3,5,10,1
3,5,6,2
3,5,6,0
3,5,12,2
3,5,6,1
3,5,4,2
3,5,10,1
3,5,4,0
3,5,8,3
3,5,10,1
3,5,8,1
3,5,10,1
3,5,2,0
3,5,8,1
3,5,6,0
3,5,6,2
3,5,10,0
3,5,6,2
3,5,12,2
3,5,6,1
3,5,8,1
3,5,6,0
3,5,14,0
3,5,10,0
3,5,10,1
3,5,8,3
3,5,14,3
3,5,16,2
3,5,14,4
3,5,6,1
3,5,10,3
3,5,12,2
3,5,8,1
3,5,8,0
3,5,8,1
3,5,8,1
3,5,6,0
3,5,6,0
3,5,12,2
3,5,8,1
3,5,8,1
3,5,8,0
3,5,8,0
3,5,10,1
3,5,6,1
3,5,6,0
3,5,8,0
3,5,8,1
3,5,8,1
3,5,10,1
3,5,8,2
3,5,12,2
3,5,4,1
3,5,12,3
3,5,10,0
3,5,12,5
3,5,2,0
3,5,6,0
3,5,6,2
3,5,14,2
3,5,8,0
3,5,6,0
3,5,6,2
3,5,6,1
3,5,8,1
3,5,14,2
3,5,6,1
3,5,6,0
3,5,8,1
3,5,8,2
3,5,12,4
3,5,8,3
3,5,6,0
3,5,6,0
3,5,4,0
3,5,8,1
3,5,8,1
3,5,10,1
3,5,6,0
3,5,6,2
3,5,6,1
3,5,12,2
3,5,10,0
3,5,12,2
3,5,0,0
3,5,4,0
3,5,6,0
3,5,6,0
3,5,8,0
3,5,12,0
3,5,4,1
3,5,8,1
3,5,12,2
3,5,10,0
3,5,10,1
3,5,6,0
3,5,14,1
3,5,6,1
3,5,4,1
3,5,10,2
3,5,8,0
3,5,8,1
3,5,10,2
3,5,10,0
3,5,6,1
3,5,10,0
3,5,8,2
3,5,10,4
3,5,8,3
3,5,4,0
3,5,2,1
3,5,8,1
3,5,10,4
3,5,10,0
3,5,8,1
3,5,8,0
3,5,12,1
3,5,8,3
3,5,12,2
3,5,10,1
3,5,8,2
3,5,4,1
3,5,8,1
3,5,6,0
3,5,8,1
3,5,8,0
3,5,4,0
3,5,14,0
3,5,4,0
3,5,6,1
3,5,10,1
3,5,8,2
3,5,12,2
3,5,4,1
3,5,2,0
3,5,10,1
3,5,8,0
3,5,8,0
3,5,6,0
3,5,8,1
3,5,8,0
3,5,6,1
3,5,12,3
3,5,14,3
3,5,10,2
3,5,12,1
3,5,6,2
3,5,6,1
3,5,10,3
3,5,8,1
3,5,8,0
3,5,8,1
3,5,2,1
3,5,8,0
3,5,12,1
3,5,6,0
3,5,12,3
3,5,10,2
3,5,6,0
3,5,6,0
3,5,12,1
3,5,8,0
3,5,6,0
3,5,4,0
3,5,8,0
3,5,6,0
3,5,10,0
3,5,6,0
3,5,12,2
3,5,12,3
3,5,10,0
3,5,4,0
3,5,8,1
3,5,10,4
3,5,12,4
3,5,6,1
3,5,8,3
3,5,6,2
3,5,8,3
3,5,10,3
3,5,10,0
3,5,8,0
3,5,12,3
3,5,12,3
3,5,6,1
3,5,8,2
3,5,12,0
3,5,8,0
3,5,6,0
3,5,8,3
3,5,10,3
3,5,12,0
3,5,6,1
3,5,6,0
3,5,8,1
3,5,10,0
3,5,10,1
3,5,4,0
3,5,6,1
3,5,8,0
3,5,18,1
3,5,4,0
3,5,10,1
3,5,8,1
3,5,12,0
3,5,16,1
3,5,12,0
3,5,10,1
3,5,10,0
3,5,4,1
3,5,6,1
3,5,12,4
3,5,8,2
3,5,10,4
3,5,10,2
3,5,10,2
3,5,8,1
3,5,6,2
3,5,2,0
3,5,8,1
3,5,6,2
3,5,10,0
3,5,6,2
3,5,4,0
3,5,8,0
3,5,8,1
3,5,12,3
3,5,2,1
3,5,8,0
3,5,8,1
3,5,18,3
3,5,6,0
3,5,4,0
3,5,16,1
3,5,6,0
3,5,8,1
3,5,6,2
3,5,6,0
3,5,18,0
3,5,6,0
3,5,8,1
3,5,6,2
3,5,10,2
3,5,8,1
3,5,8,0
3,5,2,0
3,5,6,3
3,5,8,1
3,5,8,1
3,5,2,0
3,5,10,1
3,5,8,1
3,5,2,1
3,5,4,1
3,5,6,0
3,5,8,2
3,5,8,1
3,5,14,3
3,5,6,0
3,5,4,0
3,5,12,4
3,5,8,1
3,5,8,3
3,5,6,0
3,5,8,0
3,5,6,5
3,5,8,2
3,5,8,0
3,5,6,0
3,5,4,0
3,5,0,0
3,5,6,2
3,5,12,1
3,5,12,2
3,5,8,2
3,5,10,1
3,5,10,0
3,5,10,1
3,5,4,0
3,5,6,1
3,5,6,0
3,5,10,4
3,5,6,0
3,5,8,4
3,5,14,3
3,5,6,0
3,5,6,1
3,5,10,0
3,5,6,3
3,5,8,1
3,5,10,2
3,5,6,3
3,5,6,0
3,5,6,0
3,5,10,1
3,5,8,2
3,5,8,0
3,5,6,0
3,5,12,2
3,5,6,1
3,5,4,0
3,5,10,3
3,5,8,2
3,5,4,0
3,5,10,0
3,5,4,0
3,5,8,0
3,5,8,1
3,5,6,0
3,5,6,0
3,5,8,2
3,5,6,0
3,5,8,1
3,5,8,3
3,5,6,1
3,5,8,0
3,5,2,0
3,5,10,1
3,5,4,0
3,5,6,0
3,5,12,1
3,5,10,2
3,5,8,1
3,5,14,0
3,5,6,0
3,5,2,0
3,5,12,2
3,5,6,1
3,5,8,1
3,5,8,0
3,5,8,0
3,5,8,2
3,5,10,3
3,5,2,0
3,5,6,0
3,5,8,4
3,5,4,0
3,5,12,2
3,5,4,0
3,5,4,0
3,5,4,0
3,5,8,0
3,5,6,1
3,5,10,2
3,5,10,1
3,5,12,0
3,5,6,1
3,5,15,3
3,5,8,1
3,5,4,0
3,5,6,0
3,5,12,3
3,5,8,0
3,5,8,2
3,5,8,0
3,5,8,0
3,5,4,1
3,5,8,2
3,5,8,0
3,5,6,0
3,5,8,1
3,5,8,2
3,5,10,0
3,5,12,1
3,5,14,3
3,5,10,3
3,5,8,0
3,5,4,0
3,5,10,0
3,5,6,0
3,5,6,1
3,5,6,0
3,5,8,1
3,5,8,3
3,5,10,1
3,5,4,0
3,5,12,1
3,5,6,0
3,5,6,2
3,5,6,0
3,5,10,2
3,5,4,1
3,5,8,3
3,5,6,1
3,5,10,0
3,5,12,0
3,5,10,1
3,5,10,0
3,5,8,2
3,5,4,0
3,5,6,0
3,5,8,2
3,5,14,2
3,5,12,1
3,5,10,1
3,5,6,1
3,5,12,3
3,5,10,2
3,5,8,0
3,5,8,1
3,5,6,2
3,5,8,0
3,5,6,1
3,5,6,0
3,5,12,1
3,5,16,1
3,5,8,1
3,5,6,0
3,5,6,0
3,5,8,1
3,5,4,1
3,5,4,2
3,5,16,2
3,5,12,4
3,5,6,0
3,5,6,1
3,5,8,0
3,5,8,0
3,5,4,0
3,5,12,0
3,5,10,1
3,5,8,1
3,5,12,1
3,5,6,0
3,5,8,0
3,5,6,1
3,5,10,1
3,5,6,1
3,5,6,1
3,5,6,0
3,5,4,0
3,5,8,2
3,5,10,0
3,5,14,1
3,5,8,1
3,5,8,1
3,5,10,1
3,5,8,2
3,5,14,2
3,5,8,1
3,5,2,1
3,5,10,1
3,5,4,0
3,5,6,0
3,5,6,0
3,5,6,0
3,5,14,1
3,5,6,2
3,5,12,2
3,5,6,1
3,5,8,0
3,5,8,1
3,5,4,0
3,5,8,0
3,5,6,1
3,5,8,0
3,5,6,0
3,5,10,1
3,5,8,3
3,5,6,1
3,5,8,0
3,5,8,2
3,5,10,0
3,5,8,3
3,5,10,3
3,5,10,2
3,5,8,1
3,5,12,1
3,5,10,1
3,5,14,1
3,5,8,0
3,5,8,2
3,5,6,0
3,5,14,1
3,5,12,1
3,5,6,1
3,5,8,1
3,5,6,0
3,5,4,0
3,5,6,0
3,5,14,4
3,5,4,1
3,5,12,2
3,5,2,0
3,5,10,1
3,5,10,1
3,5,8,1
3,5,6,0
3,5,8,0
3,5,8,2
3,5,8,3
3,5,8,1
3,5,6,0
3,5,4,1
3,5,12,1
3,5,8,1
3,5,2,0
3,5,10,1
3,5,10,1
3,5,4,0
3,5,14,3
3,5,8,0
3,5,12,0
3,5,4,0
3,5,8,2
3,5,8,0
3,5,10,1
3,5,10,3
3,5,12,0
3,5,16,1
3,5,20,2
3,5,8,2
3,5,6,2
3,5,10,0
3,5,10,1
3,5,10,1
3,5,8,0
3,5,6,2
3,5,6,0
3,5,12,1
3,5,8,1
3,5,6,0
3,5,8,0
3,5,4,0
3,5,12,1
3,5,6,1
3,5,10,3
3,5,6,0
3,5,10,1
3,5,8,2
3,5,8,1
3,5,4,0
3,5,8,1
3,5,10,3
3,5,12,0
3,5,8,0
3,5,8,0
3,5,6,3
3,5,8,2
3,5,6,0
3,5,6,0
3,5,6,1
3,5,10,0
3,5,6,1
3,5,4,0
3,5,8,2
3,5,4,1
3,5,10,0
3,5,6,0
3,5,6,0
3,5,10,0
3,5,10,2
3,5,6,2
3,5,16,0
3,5,6,0
3,5,12,1
3,5,2,0
3,5,14,1
3,5,10,2
3,5,6,1
3,5,6,0
3,5,12,2
3,5,2,0
3,5,8,2
3,5,12,3
3,5,8,1
3,5,8,0
3,5,10,1
3,5,0,0
3,5,6,1
3,5,8,1
3,5,12,2
3,5,8,0
3,5,10,6
3,5,8,2
3,5,8,3
3,5,8,1
3,5,8,0
3,5,8,0
3,5,8,1
3,5,4,1
3,5,8,1
3,5,6,0
3,5,8,1
3,5,10,1
3,5,6,0
3,5,6,1
3,5,8,4
3,5,6,0
3,5,8,0
3,5,6,0
3,5,10,3
3,5,4,0
3,5,8,1
3,5,8,1
3,5,6,0
3,5,4,1
3,5,6,1
3,5,10,2
3,5,6,1
3,5,8,2
3,5,12,1
3,5,12,0
3,5,12,0
3,5,10,2
3,5,4,0
3,5,12,1
3,5,10,0
3,5,4,0
3,5,10,2
3,5,6,0
3,5,4,0
3,5,8,0
3,5,8,2
3,5,6,1
3,5,8,1
3,5,8,0
3,5,10,1
3,5,6,2
3,5,8,4
3,5,6,0
3,5,4,0
3,5,4,0
3,5,8,0
3,5,8,1
3,5,8,0
3,5,4,2
3,5,10,0
3,5,8,1
3,5,6,1
3,5,8,3
3,5,8,1
3,5,12,0
3,5,10,0
3,5,2,0
3,5,8,2
3,5,4,1
3,5,6,0
3,5,10,1
3,5,6,2
3,5,6,0
3,5,8,0
3,5,8,2
3,5,6,2
3,5,8,0
3,5,8,1
3,5,8,0
3,5,4,0
3,5,14,3
3,5,10,0
3,5,14,3
3,5,4,0
3,5,6,0
3,5,8,1
3,5,2,0
3,5,6,1
3,5,6,0
3,5,6,0
3,5,6,1
3,5,8,2
3,5,10,1
3,5,8,0
3,5,14,0
3,5,6,0
3,5,10,1
3,5,6,1
3,5,12,0
3,5,6,1
3,5,6,0
3,5,12,1
3,5,12,0
3,5,8,2
3,5,6,0
3,5,6,0
3,5,10,0
3,5,12,1
3,5,4,1
3,5,8,1
3,5,6,0
3,5,8,0
3,5,4,1
3,5,6,0
3,5,6,0
3,5,10,1
3,5,6,0
3,5,14,3
3,5,6,1
3,5,8,2
3,5,8,0
3,5,6,1
3,5,10,3
3,5,6,0
3,5,8,2
3,5,4,0
3,5,10,2
3,5,10,1
3,5,4,2
3,5,8,1
3,5,4,1
3,5,10,1
3,5,8,1
3,5,14,3
3,5,6,0
3,5,8,0
3,5,10,1
3,5,4,0
3,5,12,2
3,5,8,1
3,5,8,2
3,5,12,0
3,5,8,2
3,5,6,0
3,5,12,2
3,5,10,0
3,5,8,2
3,5,6,0
3,5,8,0
3,5,12,2
3,5,10,2
3,5,10,3
3,5,6,1
3,5,8,1
3,5,6,1
3,5,8,1
3,5,10,2
3,5,8,0
3,5,4,0
3,5,8,1
3,5,8,0
3,5,6,0
3,5,2,1
3,5,4,0
3,5,4,1
3,5,12,2
3,5,6,1
3,5,4,0
3,5,8,0
3,5,4,0
3,5,14,2
3,5,6,0
3,5,6,0
3,5,14,3
3,5,8,2
3,5,8,2
3,5,8,2
3,5,12,0
3,5,10,0
3,5,8,0
3,5,10,3
3,5,10,1
3,5,6,0
3,5,8,0
3,5,10,4
3,5,10,0
3,5,12,2
3,5,10,1
3,5,6,1
3,5,12,5
3,5,8,1
3,5,6,2
3,5,6,0
3,5,6,0
3,5,4,0
3,5,10,1
3,5,6,0
3,5,10,2
3,5,6,1
3,5,10,2
3,5,4,1
3,5,6,0
3,5,4,0
3,5,8,1
3,5,10,2
3,5,10,1
3,5,10,0
3,5,6,0
3,5,4,1
3,5,6,0
3,5,6,1
3,5,10,2
3,5,8,1
3,5,10,0
3,5,8,1
3,5,4,1
3,5,8,1
3,5,8,2
3,5,2,1
3,5,8,1
3,5,6,1
3,5,12,0
3,5,4,0
3,5,2,0
3,5,2,0
3,5,4,0
3,5,4,0
3,5,2,0
3,5,4,0
3,5,4,2
3,5,10,1
3,5,2,0
3,5,6,0
3,5,8,3
3,5,6,1
3,5,10,3
3,5,10,0
3,5,10,1
3,5,6,1
3,5,6,0
3,5,10,3
3,5,10,0
3,5,4,0
3,5,4,3
3,5,6,2
3,5,12,3
3,5,8,1
3,5,8,0
3,5,12,3
3,5,8,0
3,5,12,3
3,5,12,0
3,5,6,1
3,5,6,3
3,5,7,1
3,5,12,3
3,5,8,0
